pathway	pval	padj	log2err	ES	NES	size	leadingEdge	pathway_id	pathway_name
R-HSA-205043 :: NRIF signals cell death from the nucleus	0.435789473684211	0.511561516486709	0.0894366833718621	-0.355959710129857	-1.0263920043995	15	APH1B;PSEN1;TRAF6	R-HSA-205043	NRIF signals cell death from the nucleus
R-HSA-451326 :: Activation of kainate receptors upon glutamate binding	0.44106463878327	0.516590214067278	0.083129129135339	0.325068435610786	1.01019858500863	20	PLCB3;GNB2;GNB5;CALM1;DLG3;PLCB2;GNG5	R-HSA-451326	Activation of kainate receptors upon glutamate binding
R-HSA-5696395 :: Formation of Incision Complex in GG-NER	0.44106463878327	0.516590214067278	0.083129129135339	0.270609645378734	1.01010708557574	42	UBE2N;CETN2;UBA52;GTF2H1;RPA3;RPA1;CDK7;SUMO3;RBX1;GTF2H3;PARP1;SUMO2;ERCC2;RPA2;CUL4B;CHD1L;RPS27A;PIAS3;MNAT1;GTF2H5;UBB;RAD23B;ERCC1;CUL4A	R-HSA-5696395	Formation of Incision Complex in GG-NER
R-HSA-936837 :: Ion transport by P-type ATPases	0.441287878787879	0.516590214067278	0.0828962134571565	0.26592325206167	1.00744923653346	44	ATP10B;ATP1B1;ATP1B3;ATP12A;ATP1A1;ATP13A1;ATP13A2;ATP11B;CALM1	R-HSA-936837	Ion transport by P-type ATPases
R-HSA-72702 :: Ribosomal scanning and start codon recognition	0.442622950819672	0.517204107368042	0.0806388495950661	0.248212046335606	0.999193534471319	58	EIF2S2;EIF5;EIF3K;EIF4E;EIF3I;EIF3B;EIF3J;EIF4H;EIF2S1;EIF3D;EIF4A1;EIF4G1;EIF3A;RPS26;EIF3C;EIF3M;FAU;RPS10;EIF2S3	R-HSA-72702	Ribosomal scanning and start codon recognition
R-HSA-442742 :: CREB1 phosphorylation through NMDA receptor-mediated activation of RAS signaling	0.442307692307692	0.517204107368042	0.0894366833718621	-0.304633193139907	-1.01759058922182	26	RPS6KA6;DLG2;CREB1;CAMK2B;MAPK1;CAMK2D;GRIN2B	R-HSA-442742	CREB1 phosphorylation through NMDA receptor-mediated activation of RAS signaling
R-HSA-112040 :: G-protein mediated events	0.443708609271523	0.517998339826591	0.0911073131586733	-0.256875785644966	-1.01363041928017	49	ITPR2;ITPR3;ADCY2;GNAI1;PLCB4;NBEA;PRKCA;CREB1;CAMK2B;MAPK1;PRKAR2B;CAMK2D	R-HSA-112040	G-protein mediated events
R-HSA-1483249 :: Inositol phosphate metabolism	0.445488721804511	0.519601105139448	0.0819778796501272	0.261399014548052	1.00003747931431	45	NUDT4;IMPA2;IPPK;PLCB3;PLCD1;PLCD4;PLCG2;NUDT3;ITPKC;CALM1;ITPK1;PLCB2;IMPA1	R-HSA-1483249	Inositol phosphate metabolism
R-HSA-392154 :: Nitric oxide stimulates guanylate cyclase	0.450106157112527	0.524507266187748	0.0880945010398517	-0.328865127265142	-0.997285651365312	18	KCNMB4;PRKG2;PDE5A;NOS1;PRKG1;KCNMA1	R-HSA-392154	Nitric oxide stimulates guanylate cyclase
R-HSA-9816359 :: Maternal to zygotic transition (MZT)	0.453068592057762	0.527062443026436	0.0789209638180035	0.246300322503378	0.993766264914674	55	EIF4A3;KPNA2;CNOT11;EIF4E;UHRF1;CNOT6;BIRC5;ELL2;DICER1;TPRXL;CNOT1;EIF4A1;PABPC1	R-HSA-9816359	Maternal to zygotic transition (MZT)
R-HSA-186797 :: Signaling by PDGF	0.453125	0.527062443026436	0.0905428948469474	-0.246809349648826	-1.00345792583178	55	PDGFA;PDGFC;PDGFB;PIK3R1;COL4A5;PDGFD;PDGFRA;PIK3CA;STAT5B;PIK3CB;COL4A3;COL5A3;THBS3;COL6A2	R-HSA-186797	Signaling by PDGF
R-HSA-9018519 :: Estrogen-dependent gene expression	0.455210237659964	0.529005704238719	0.0793434960134973	0.228070540715114	0.999390795983804	87	CTSD;KPNA2;TLE3;HDAC1;POLR2L;CARM1;POLR2E;POLR2H;CBFB;TGFA;GTF2F1;KDM1A;MYC;PRMT1;RUNX1;POLR2G;PTGES3;DDX5;ZNF217;RAD21;USF2;POLR2C;FKBP4;JUN;NRIP1;POLR2J;GTF2A2;USF1;CHD1;CDK9;POLR2B;HSP90AB1	R-HSA-9018519	Estrogen-dependent gene expression
R-HSA-112043 :: PLC beta mediated events	0.461702127659575	0.536061796991462	0.086794975677172	-0.260524126246717	-1.00668938318278	45	ITPR2;ITPR3;ADCY2;PLCB4;NBEA;PRKCA;CREB1;CAMK2B;MAPK1;PRKAR2B;CAMK2D	R-HSA-112043	PLC beta mediated events
R-HSA-400206 :: Regulation of lipid metabolism by PPARalpha	0.465011286681716	0.53941309255079	0.0897104652742981	-0.216840120414605	-1.00473797203902	109	PPARGC1A;RXRA;SLC27A1;HMGCS2;CHD9;PPARA;ARNT;RORA;SP1;CYP4A11;MED13L;NCOR2;NR1D1;CREBBP;TBL1XR1;SIN3A;CYP1A1;NCOR1;NCOA2;TIAM2;FAM120B;FADS1;MED30	R-HSA-400206	Regulation of lipid metabolism by PPARalpha
R-HSA-9843745 :: Adipogenesis	0.467411545623836	0.541704933892838	0.0789209638180035	0.22078041765311	0.99546257573792	103	CD36;ANGPTL4;HDAC1;MED8;CARM1;NFKB1;HELZ2;MBD3;CEBPD;CCNC;PPARGC1B;SREBF1;CEBPB;TGFB1;CCND3;HDAC3;MED9;GATAD2A;MTA2;DIO2;CDK8;MED27;SMARCD3;TNF;RELA	R-HSA-9843745	Adipogenesis
R-HSA-381426 :: Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)	0.469298245614035	0.543397968605725	0.0875697115548511	-0.223245634714705	-0.994597203480911	89	APOE;WFS1;KLK1;GAS6;GPC3;TGOLN2;SDC2;IGFBP5;CHRDL1;FN1;LAMB2;MBTPS1;IGFBP6;CP;BMP4;CDH2;LAMC1;APP;FSTL1;FSTL3;VCAN;NOTUM;PAPPA2;MGAT4A;FBN1	R-HSA-381426	Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)
R-HSA-8863795 :: Downregulation of ERBB2 signaling	0.471337579617834	0.545264507336679	0.0855356947987884	-0.291283088868582	-0.989110789983833	27	BTC;ERBB4;EGFR;EGF;AKT3;ERBB3	R-HSA-8863795	Downregulation of ERBB2 signaling
R-HSA-2173791 :: TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition)	0.474285714285714	0.548178053830228	0.0793434960134973	0.336349891841816	0.988871757313552	16	FKBP1A;TGFB1;UBA52;TGFBR1;RHOA	R-HSA-2173791	TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition)
R-HSA-8940973 :: RUNX2 regulates osteoblast differentiation	0.475378787878788	0.54894419306184	0.0789209638180035	0.309360204084176	0.978513444128994	21	YES1;MAPK3;CBFB;RB1;HDAC3;SRC	R-HSA-8940973	RUNX2 regulates osteoblast differentiation
R-HSA-4085001 :: Sialic acid metabolism	0.477099236641221	0.550432754027304	0.0791316651768349	0.284830033027457	0.973409333613479	29	NANS;NEU2;CMAS;CTSA;ST6GALNAC1;NPL;ST8SIA4;ST8SIA2	R-HSA-4085001	Sialic acid metabolism
R-HSA-2514856 :: The phototransduction cascade	0.482041587901701	0.555208821989707	0.0780892306943345	0.306985868013171	0.979871115513453	22	PRKCQ;METAP1;CNGB1;GNB5;CALM1;METAP2	R-HSA-2514856	The phototransduction cascade
